CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Segment,Customer_Segment
1011,34,2,1129.02,2,4,4,244,"04. At Risk (High F, Low R)"
1025,22,1,359.29,3,1,2,312,06. Lost/Dormant
1029,1,1,704.99,4,1,3,413,03. New/High Value Single Buyer
1046,44,1,859.82,2,1,4,214,06. Lost/Dormant
1049,14,1,225.72,4,1,1,411,06. Lost/Dormant
1082,25,1,600.69,3,1,3,313,03. New/High Value Single Buyer
1086,10,1,100.18,4,1,1,411,06. Lost/Dormant
1104,35,1,146.12,2,1,1,211,06. Lost/Dormant
1108,29,1,883.21,3,1,4,314,03. New/High Value Single Buyer
1120,29,1,999.44,3,1,4,314,03. New/High Value Single Buyer
1136,57,1,394.76,1,1,2,112,06. Lost/Dormant
1146,59,1,585.27,1,1,3,113,06. Lost/Dormant
1149,48,1,510.68,1,1,2,112,06. Lost/Dormant
1166,28,1,948.58,3,1,4,314,03. New/High Value Single Buyer
1182,26,1,876.02,3,1,4,314,03. New/High Value Single Buyer
1185,21,1,209.18,3,1,1,311,06. Lost/Dormant
1190,20,1,935.03,3,1,4,314,03. New/High Value Single Buyer
1193,18,1,218.64,3,1,1,311,06. Lost/Dormant
1200,32,1,502.65,3,1,2,312,06. Lost/Dormant
1207,7,1,425.86,4,1,2,412,06. Lost/Dormant
1212,14,1,258.83,4,1,1,411,06. Lost/Dormant
1225,40,1,696.86,2,1,3,213,06. Lost/Dormant
1228,45,1,541.21,2,1,2,212,06. Lost/Dormant
1230,4,1,328.99,4,1,2,412,06. Lost/Dormant
1256,48,1,591.17,1,1,3,113,06. Lost/Dormant
1265,45,1,557.78,2,1,3,213,06. Lost/Dormant
1273,24,1,76.86,3,1,1,311,06. Lost/Dormant
1305,5,2,1234.46,4,4,4,444,01. Champions
1317,52,1,59.14,1,1,1,111,06. Lost/Dormant
1323,58,1,692.85,1,1,3,113,06. Lost/Dormant
1331,40,1,819.21,2,1,4,214,06. Lost/Dormant
1341,41,1,180.15,2,1,1,211,06. Lost/Dormant
1372,42,1,468.37,2,1,2,212,06. Lost/Dormant
1391,47,1,546.13,1,1,3,113,06. Lost/Dormant
1392,32,1,629.21,3,1,3,313,03. New/High Value Single Buyer
1430,23,1,929.79,3,1,4,314,03. New/High Value Single Buyer
1439,7,1,848.6,4,1,4,414,03. New/High Value Single Buyer
1440,1,1,729.94,4,1,3,413,03. New/High Value Single Buyer
1464,56,1,55.01,1,1,1,111,06. Lost/Dormant
1480,4,2,1621.62,4,4,4,444,01. Champions
1500,46,1,378.74,1,1,2,112,06. Lost/Dormant
1502,56,1,748.65,1,1,3,113,06. Lost/Dormant
1504,31,1,164.76,3,1,1,311,06. Lost/Dormant
1505,11,1,763.45,4,1,3,413,03. New/High Value Single Buyer
